MMS Id,ISSN,Aleph Number,Network Number,Material Type
990000091770302486,1117-0921,(Aleph)000009177EMU01,ocm45555433,Bound Issue
990000091790302486,,(Aleph)000009179EMU01,ocm45574987,Bound Issue
990000091800302486,,(Aleph)000009180EMU01,ocm45575170,Bound Issue
990000091810302486,1117-031X,(Aleph)000009181EMU01,ocm45576099,Bound Issue
990000091820302486,,(Aleph)000009182EMU01,(OCoLC)45576188,Bound Issue
990000091920302486,0082-1527,(Aleph)000009192EMU01,(OCoLC)25538535,Bound Issue
990000092910302486,0954-254X; 1351-8046,(Aleph)000009291EMU01,ocm28178039,Bound Issue
990000092920302486,1464-7001,(Aleph)000009292EMU01,(OCoLC)44122107,Bound Issue
990000092930302486,1469-2902; 0066-4677,(Aleph)000009293EMU01,(OCoLC)1481556,Bound Issue
990000094030302486,,(Aleph)000009403EMU01,ocm45585669,Bound Issue
990000094070302486,,(Aleph)000009407EMU01,ocm45585747,Bound Issue
990000094100302486,,(Aleph)000009410EMU01,ocm45585875,Bound Issue
990000094680302486,,(Aleph)000009468EMU01,(OCoLC)45586200,Bound Issue
990000094860302486,,(Aleph)000009486EMU01,ocm45287388,Bound Issue
990000097190302486,,(Aleph)000009719EMU01,ocm35068593,Bound Issue
990000098010302486,,(Aleph)000009801EMU01,(OCoLC)45629744,Bound Issue
990000098060302486,,(Aleph)000009806EMU01,(OCoLC)31388883,Bound Issue
990000098290302486,0896-2863,(Aleph)000009829EMU01,(OCoLC)16978375,Bound Issue
990000100920302486,1118-3993,(Aleph)000010092EMU01,ocm45608390,Bound Issue
990000102300302486,1526-6796,(Aleph)000010230EMU01,(OCoLC)42358649,Bound Issue
990000103120302486,1525-3384,(Aleph)000010312EMU01,ocm36627104,Bound Issue
990000104010302486,1525-0008,(Aleph)000010401EMU01,(OCoLC)41350141,Bound Issue
990000104220302486,1524-8372,(Aleph)000010422EMU01,ocm41254807,Bound Issue
990000104240302486,0169-0965,(Aleph)000010424EMU01,(OCoLC)12849677,Bound Issue
990000106600302486,,(Aleph)000010660EMU01,ocm37901723,Bound Issue
990000106690302486,,(Aleph)000010669EMU01,(OCoLC)2716664,Bound Issue
990000106700302486,,(Aleph)000010670EMU01,(OCoLC)2062625,Bound Issue
990000106710302486,,(Aleph)000010671EMU01,(OCoLC)4217929,Bound Issue
990000107500302486,0300-9289,(Aleph)000010750EMU01,ocm2063821,Bound Issue
990000107590302486,0300-9297,(Aleph)000010759EMU01,(OCoLC)2063774,Bound Issue
990000107600302486,0300-9300,(Aleph)000010760EMU01,ocm2063724,Bound Issue
990000107630302486,0300-9335,(Aleph)000010763EMU01,(OCoLC)2059766,Bound Issue
990000111160302486,,(Aleph)000011116EMU01,(OCoLC)19537120,Bound Issue
990000112130302486,,(Aleph)000011213EMU01,(OCoLC)37359688,Bound Issue
990000112140302486,1541-4647,(Aleph)000011214EMU01,(OCoLC)44948529,Bound Issue
990000113300302486,,(Aleph)000011330EMU01,ocm9029531,Bound Issue
990000113680302486,1567-424X,(Aleph)000011368EMU01,(OCoLC)45662486,Bound Issue
990000115320302486,1561-5502,(Aleph)000011532EMU01,(OCoLC)45474712,Bound Issue
990000118910302486,1931-7522,(Aleph)000011891EMU01,(OCoLC)27341231,Bound Issue
990000120430302486,0326-7458,(Aleph)000012043EMU01,(OCoLC)13979159,Bound Issue
990000124990302486,1353-2944,(Aleph)000012499EMU01,(OCoLC)35051761,Bound Issue
990000125020302486,1521-4206,(Aleph)000012502EMU01,(OCoLC)39752401,Bound Issue
990000125060302486,1154-7782,(Aleph)000012506EMU01,(OCoLC)9357264,Bound Issue
990000125070302486,0340-2215,(Aleph)000012507EMU01,(OCoLC)3062685,Bound Issue
990000128510302486,1089-327X,(Aleph)000012851EMU01,(OCoLC)34982205,Bound Issue
990000128600302486,,(Aleph)000012860EMU01,(OCoLC)38940640,Bound Issue
990000128630302486,0440-9205,(Aleph)000012863EMU01,ocm1752110,Bound Issue
990000129510302486,,(Aleph)000012951EMU01,(OCoLC)210305562,Bound Issue
990000130710302486,,(Aleph)000013071EMU01,(OCoLC)45642677,Bound Issue
990000130740302486,0948-0471,(Aleph)000013074EMU01,(OCoLC)42729388,Bound Issue
990000130900302486,1047-5699; 1532-2445; 1531-2445,(Aleph)000013090EMU01,(OCoLC)44806798,Bound Issue
990000135330302486,,(Aleph)000013533EMU01,ocm10504630,Bound Issue
990000135340302486,0076-1087,(Aleph)000013534EMU01,ocm7051265,Bound Issue
990000137110302486,0897-1676,(Aleph)000013711EMU01,(OCoLC)10004204,Bound Issue
990000142600302486,0081-4539,(Aleph)000014260EMU01,(OCoLC)3909425,Bound Issue
990000143860302486,1531-7129,(Aleph)000014386EMU01,(OCoLC)45049488,Bound Issue
990000143870302486,0037-9727; 1535-3702,(Aleph)000014387EMU01,(OCoLC)45699954,Bound Issue
990000145710302486,0010-1451,(Aleph)000014571EMU01,(OCoLC)2078821,Bound Issue
990000145720302486,0042-3165; 0100-7122,(Aleph)000014572EMU01,ocm2464740,Bound Issue
990000145730302486,1081-0463,(Aleph)000014573EMU01,ocm26862602,Bound Issue
990000146000302486,,(Aleph)000014600EMU01,(OCoLC)4530578,Bound Issue
990000149430302486,1208-2071; 1531-023X,(Aleph)000014943EMU01,(OCoLC)43267982,Bound Issue
990000149440302486,0551-1690,(Aleph)000014944EMU01,(OCoLC)7052766,Bound Issue
990000149450302486,0148-1029,(Aleph)000014945EMU01,(OCoLC)2924022,Bound Issue
990000151750302486,1567-4495,(Aleph)000015175EMU01,(OCoLC)44760327,Bound Issue
990000152480302486,,(Aleph)000015248EMU01,No OCLC Number Available,Bound Issue
990000157500302486,1071-300X,(Aleph)000015750EMU01,ocm24772336,Bound Issue
990000157510302486,,(Aleph)000015751EMU01,ocm30845205,Bound Issue
990000159110302486,1992-8408,(Aleph)000015911EMU01,(OCoLC)45584831,Bound Issue
990000159120302486,1012-7801,(Aleph)000015912EMU01,(OCoLC)30886942,Bound Issue
990000159510302486,1566-2497,(Aleph)000015951EMU01,(OCoLC)45719927,Bound Issue
990000159750302486,1070-5325,(Aleph)000015975EMU01,(OCoLC)28398684,Bound Issue
990000160220302486,1096-3065; 1522-810X; 1537-5838,(Aleph)000016022EMU01,(OCoLC)45693990,Bound Issue
990000160360302486,1393-998X,(Aleph)000016036EMU01,ocm45802206,Bound Issue
990000160820302486,1649-0126,(Aleph)000016082EMU01,ocm45802216,Bound Issue
990000161420302486,1057-6029; 1533-6484,(Aleph)000016142EMU01,(OCoLC)44488544,Bound Issue
990000161510302486,1529-0816,(Aleph)000016151EMU01,(OCoLC)43608525,Bound Issue
990000164420302486,,(Aleph)000016442EMU01,(OCoLC)42254102,Bound Issue
990000166790302486,,(Aleph)000016679EMU01,ocm50361065,Bound Issue
990000168970302486,0364-2437,(Aleph)000016897EMU01,(OCoLC)2800381,Bound Issue
990000169410302486,1099-5765,(Aleph)000016941EMU01,(OCoLC)36645345,Bound Issue
990000169530302486,1471-4922,(Aleph)000016953EMU01,(OCoLC)45802447,Bound Issue
990000169570302486,1531-1864,(Aleph)000016957EMU01,ocm44798483,Bound Issue
990000171590302486,0044-2690,(Aleph)000017159EMU01,(OCoLC)2214898,Bound Issue
990000171610302486,0179-6135,(Aleph)000017161EMU01,(OCoLC)1774236,Bound Issue
990000176040302486,0019-848X; 1532-9194,(Aleph)000017604EMU01,(OCoLC)45555059,Bound Issue
990000176270302486,1470-1626,(Aleph)000017627EMU01,(OCoLC)45427538,Bound Issue
990000176330302486,1532-673X,(Aleph)000017633EMU01,(OCoLC)45427538,Bound Issue
990000178770302486,1287-2147; 1296-2147,(Aleph)000017877EMU01,ocm44388397,Bound Issue
990000181840302486,,(Aleph)000018184EMU01,(OCoLC)34014156,Bound Issue
990000185700302486,1528-7483,(Aleph)000018570EMU01,(OCoLC)43515752,Bound Issue
990000185730302486,1389-5567,(Aleph)000018573EMU01,(OCoLC)44554577,Bound Issue
990000185740302486,0044-2038,(Aleph)000018574EMU01,(OCoLC)7449516,Bound Issue
990000185760302486,0362-921X,(Aleph)000018576EMU01,ocm2105664,Bound Issue
990000185780302486,0362-9147,(Aleph)000018578EMU01,(OCoLC)2095940,Bound Issue
990000185860302486,1534-9977,(Aleph)000018586EMU01,(OCoLC)45787735,Bound Issue
990000186160302486,,(Aleph)000018616EMU01,(OCoLC)38063390,Bound Issue
990000186190302486,0899-1154; 1532-3692,(Aleph)000018619EMU01,(OCoLC)45295972,Bound Issue
990000186320302486,0270-8302; 8756-6389,(Aleph)000018632EMU01,(OCoLC)11626364,Bound Issue
990000186520302486,1467-8403; 0314-7533; 1035-7823,(Aleph)000018652EMU01,(OCoLC)22530588,Bound Issue
990000186570302486,1527-652X,(Aleph)000018657EMU01,ocm42930717,Bound Issue
990000186860302486,,(Aleph)000018686EMU01,ocm2063287,Bound Issue
990000187250302486,,(Aleph)000018725EMU01,ocm45896469,Bound Issue
990000187710302486,,(Aleph)000018771EMU01,(OCoLC)11063778,Bound Issue
990000187720302486,,(Aleph)000018772EMU01,(OCoLC)10944737,Bound Issue
990000187730302486,0044-0213,(Aleph)000018773EMU01,(OCoLC)2269756,Bound Issue
990000188160302486,0199-0292,(Aleph)000018816EMU01,(OCoLC)1777115,Bound Issue
990000188180302486,0043-9282,(Aleph)000018818EMU01,(OCoLC)1774222,Bound Issue
990000188190302486,,(Aleph)000018819EMU01,ocm6057665,Bound Issue
990000189080302486,,(Aleph)000018908EMU01,ocm45905883,Bound Issue
990000189090302486,,(Aleph)000018909EMU01,ocm45906135,Bound Issue
990000189100302486,,(Aleph)000018910EMU01,ocm45911464,Bound Issue
990000189110302486,,(Aleph)000018911EMU01,ocm45911534,Bound Issue
990000189130302486,8755-2213,(Aleph)000018913EMU01,(OCoLC)1779698,Bound Issue
990000189150302486,,(Aleph)000018915EMU01,(OCoLC)25986087,Bound Issue
990000189160302486,0029-3571,(Aleph)000018916EMU01,ocm25985992,Bound Issue
990000189860302486,2169-4591,(Aleph)000018986EMU01,(OCoLC)2267947,Bound Issue
990000190500302486,0039-4157,(Aleph)000019050EMU01,(OCoLC)2243471,Bound Issue
990000190510302486,,(Aleph)000019051EMU01,(OCoLC)1644226,Bound Issue
990000190520302486,,(Aleph)000019052EMU01,ocm3986837,Bound Issue
990000190530302486,0510-8349,(Aleph)000019053EMU01,ocm1776754,Bound Issue
990000190540302486,0510-9272; 0043-8839,(Aleph)000019054EMU01,ocm2779102,Bound Issue
990000190550302486,,(Aleph)000019055EMU01,(OCoLC)6258312,Bound Issue
990000190600302486,,(Aleph)000019060EMU01,ocm5185649,Bound Issue
990000190620302486,,(Aleph)000019062EMU01,ocm1585926,Bound Issue
990000190630302486,,(Aleph)000019063EMU01,(OCoLC)5185609,Bound Issue
990000191790302486,1942-4841,(Aleph)000019179EMU01,(OCoLC)13029962,Bound Issue
990000191800302486,0043-8286,(Aleph)000019180EMU01,(OCoLC)1770125,Bound Issue
990000191810302486,1942-485X,(Aleph)000019181EMU01,(OCoLC)1713865,Bound Issue
990000191840302486,,(Aleph)000019184EMU01,ocm45916352,Bound Issue
990000191850302486,,(Aleph)000019185EMU01,ocm45916396,Bound Issue
990000192710302486,0072-064X; 1020-4997; 1814-9278,(Aleph)000019271EMU01,(OCoLC)45764464,Bound Issue
990000193160302486,1098-7584,(Aleph)000019316EMU01,ocm26035875,Bound Issue
990000193640302486,,(Aleph)000019364EMU01,(OCoLC)6454182,Bound Issue
990000193650302486,,(Aleph)000019365EMU01,(OCoLC)2451654,Bound Issue
990000193660302486,0363-6615,(Aleph)000019366EMU01,ocm1773513,Bound Issue
990000193670302486,,(Aleph)000019367EMU01,(OCoLC)39135448,Bound Issue
990000193680302486,,(Aleph)000019368EMU01,ocm34112348,Bound Issue
990000193690302486,,(Aleph)000019369EMU01,(OCoLC)2451556,Bound Issue
990000197100302486,0577-1757,(Aleph)000019710EMU01,(OCoLC)3029187,Bound Issue
990000197140302486,,(Aleph)000019714EMU01,(OCoLC)11005334,Bound Issue
990000197150302486,,(Aleph)000019715EMU01,(OCoLC)10551620,Bound Issue
990000197160302486,0190-6100,(Aleph)000019716EMU01,(OCoLC)2395779,Bound Issue
990000197170302486,0511-4942,(Aleph)000019717EMU01,(OCoLC)834313,Bound Issue
990000197870302486,0379-9565,(Aleph)000019787EMU01,(OCoLC)3476531,Bound Issue
990000197880302486,0196-0296,(Aleph)000019788EMU01,(OCoLC)2434612,Bound Issue
990000197890302486,0092-7821; 0143-3261,(Aleph)000019789EMU01,(OCoLC)1787744,Bound Issue
990000197900302486,0577-9960,(Aleph)000019790EMU01,(OCoLC)1640330,Bound Issue
990000198180302486,,(Aleph)000019818EMU01,ocm16955013,Bound Issue
990000198210302486,,(Aleph)000019821EMU01,ocm37442367,Bound Issue
990000198220302486,,(Aleph)000019822EMU01,(OCoLC)45966842,Bound Issue
990000198230302486,,(Aleph)000019823EMU01,(OCoLC)45966987,Bound Issue
990000198250302486,,(Aleph)000019825EMU01,ocm45967099,Bound Issue
990000198620302486,,(Aleph)000019862EMU01,(OCoLC)46805416,Bound Issue
990000198640302486,,(Aleph)000019864EMU01,(OCoLC)22647721,Bound Issue
990000201590302486,1317-0953,(Aleph)000020159EMU01,(OCoLC)44922108,Bound Issue
990000201610302486,1567-8326,(Aleph)000020161EMU01,(OCoLC)45909906,Bound Issue
990000201660302486,,(Aleph)000020166EMU01,(OCoLC)40466578,Bound Issue
990000203290302486,,(Aleph)000020329EMU01,(OCoLC)47123753,Bound Issue
990000203420302486,1650-1977,(Aleph)000020342EMU01,(OCoLC)45882557,Bound Issue
990000203640302486,1529-1006,(Aleph)000020364EMU01,(OCoLC)43619255,Bound Issue
990000207390302486,0049-7541,(Aleph)000020739EMU01,(OCoLC)1781485,Bound Issue
990000207470302486,1530-5627,(Aleph)000020747EMU01,(OCoLC)44260660,Bound Issue
990000207520302486,1027-3719,(Aleph)000020752EMU01,(OCoLC)36489431,Bound Issue
990000209610302486,0255-0962,(Aleph)000020961EMU01,(OCoLC)1538089,Bound Issue
990000211010302486,1440-9917,(Aleph)000021101EMU01,(OCoLC)44179079,Bound Issue
990000212270302486,0267-0887,(Aleph)000021227EMU01,(OCoLC)12660458,Bound Issue
990000212420302486,,(Aleph)000021242EMU01,ocm44530899,Bound Issue
990000212430302486,0519-4628,(Aleph)000021243EMU01,(OCoLC)41481531,Bound Issue
990000212440302486,0512-3364,(Aleph)000021244EMU01,ocm10657943,Bound Issue
990000212480302486,0566-5310,(Aleph)000021248EMU01,(OCoLC)1768072,Bound Issue
990000212500302486,,(Aleph)000021250EMU01,(OCoLC)15584722,Bound Issue
990000212520302486,,(Aleph)000021252EMU01,(OCoLC)13190660,Bound Issue
990000212620302486,,(Aleph)000021262EMU01,ocm46323898,Bound Issue
990000212650302486,,(Aleph)000021265EMU01,ocm46324131,Bound Issue
990000212660302486,,(Aleph)000021266EMU01,ocm46324271,Bound Issue
990000213850302486,,(Aleph)000021385EMU01,ocm7760455,Bound Issue
990000213940302486,1213-1520,(Aleph)000021394EMU01,(OCoLC)45399543,Bound Issue
990000213950302486,0847-1266,(Aleph)000021395EMU01,(OCoLC)21497050,Bound Issue
990000213960302486,0362-0476,(Aleph)000021396EMU01,(OCoLC)8834524,Bound Issue
990000213980302486,,(Aleph)000021398EMU01,(OCoLC)1768112,Bound Issue
990000214430302486,,(Aleph)000021443EMU01,(OCoLC)42011237,Bound Issue
990000215040302486,0344-385X,(Aleph)000021504EMU01,(OCoLC)2410175,Bound Issue
990000215390302486,1076-0962,(Aleph)000021539EMU01,ocm28624123,Bound Issue
990000216310302486,1078-3482; 1094-3420,(Aleph)000021631EMU01,(OCoLC)37107867,Bound Issue
990000217600302486,0334-4118,(Aleph)000021760EMU01,ocm5506302,Bound Issue
990000217660302486,1534-9829,(Aleph)000021766EMU01,(OCoLC)41148170,Bound Issue
990000218170302486,1527-5388,(Aleph)000021817EMU01,(OCoLC)42867720,Bound Issue
990000218330302486,0256-0917,(Aleph)000021833EMU01,(OCoLC)12226189,Bound Issue
990000219420302486,1362-9387,(Aleph)000021942EMU01,(OCoLC)36425894,Bound Issue
990000220560302486,0042-8086,(Aleph)000022056EMU01,ocm9207978,Bound Issue
990000220580302486,,(Aleph)000022058EMU01,ocm6698219,Bound Issue
990000220600302486,,(Aleph)000022060EMU01,ocm5384061,Bound Issue
990000220610302486,,(Aleph)000022061EMU01,ocm2823473,Bound Issue
990000220620302486,,(Aleph)000022062EMU01,ocm7565988,Bound Issue
990000220630302486,,(Aleph)000022063EMU01,ocm2269144,Bound Issue
990000220640302486,,(Aleph)000022064EMU01,ocm1773577,Bound Issue
990000220650302486,0042-7381,(Aleph)000022065EMU01,(OCoLC)1596851,Bound Issue
990000220660302486,,(Aleph)000022066EMU01,ocm1776687,Bound Issue
990000223800302486,0566-1935,(Aleph)000022380EMU01,(OCoLC)7107147,Bound Issue
990000223810302486,0270-8140,(Aleph)000022381EMU01,(OCoLC)4574242,Bound Issue
990000223820302486,0041-8196,(Aleph)000022382EMU01,(OCoLC)1768779,Bound Issue
990000223830302486,0566-1943,(Aleph)000022383EMU01,ocm1645180,Bound Issue
990000223840302486,0101-3300,(Aleph)000022384EMU01,(OCoLC)8793654,Bound Issue
990000223850302486,1523-9888,(Aleph)000022385EMU01,(OCoLC)43678666,Bound Issue
990000224010302486,1110-2160; 1687-1510,(Aleph)000022401EMU01,(OCoLC)1189841,Bound Issue
990000225050302486,1066-9477; 1541-4566,(Aleph)000022505EMU01,(OCoLC)45449378,Bound Issue
990000225080302486,0885-7741,(Aleph)000022508EMU01,(OCoLC)12769999,Bound Issue
990000225320302486,1017-1398,(Aleph)000022532EMU01,ocm24440982,Bound Issue
990000225330302486,1521-804X,(Aleph)000022533EMU01,(OCoLC)39910472,Bound Issue
990000226520302486,,(Aleph)000022652EMU01,ocm10624496,Bound Issue
990000226910302486,0267-5315,(Aleph)000022691EMU01,ocm12331260,Bound Issue
990000228700302486,1468-2745,(Aleph)000022870EMU01,(OCoLC)45800869,Bound Issue
990000228900302486,0257-7062,(Aleph)000022890EMU01,(OCoLC)15789501,Bound Issue
990000233280302486,0093-4577,(Aleph)000023328EMU01,(OCoLC)1783636,Bound Issue
990000233910302486,,(Aleph)000023391EMU01,(OCoLC)46888154,Bound Issue
990000234200302486,1666-5120,(Aleph)000023420EMU01,(OCoLC)46397974,Bound Issue
990000234210302486,,(Aleph)000023421EMU01,ocm46398358,Bound Issue
990000234220302486,,(Aleph)000023422EMU01,ocm46398783,Bound Issue
990000234230302486,,(Aleph)000023423EMU01,ocm46398825,Bound Issue
990000234240302486,,(Aleph)000023424EMU01,ocm46398864,Bound Issue
990000238210302486,,(Aleph)000023821EMU01,(OCoLC)22762415,Bound Issue
990000238540302486,,(Aleph)000023854EMU01,(OCoLC)5851959,Bound Issue
990000238830302486,,(Aleph)000023883EMU01,(OCoLC)46491689,Bound Issue
990000239660302486,0362-904X,(Aleph)000023966EMU01,ocm10491074,Bound Issue
990000239670302486,,(Aleph)000023967EMU01,ocm31073729,Bound Issue
990000239680302486,,(Aleph)000023968EMU01,ocm3197485,Bound Issue
990000239950302486,0173-4784,(Aleph)000023995EMU01,(OCoLC)22217186,Bound Issue
990000239960302486,,(Aleph)000023996EMU01,(OCoLC)1767955,Bound Issue
990000240640302486,1439-8443,(Aleph)000024064EMU01,(OCoLC)44162107,Bound Issue
990000240670302486,,(Aleph)000024067EMU01,ocm30676635,Bound Issue
990000240680302486,,(Aleph)000024068EMU01,ocm3831111,Bound Issue
990000240690302486,0041-722X,(Aleph)000024069EMU01,ocm1776735,Bound Issue
990000240700302486,,(Aleph)000024070EMU01,ocm1774162,Bound Issue
990000240730302486,1534-1267,(Aleph)000024073EMU01,ocm40803397,Bound Issue
990000240780302486,1520-9857,(Aleph)000024078EMU01,(OCoLC)39640850,Bound Issue
990000241030302486,0041-2171,(Aleph)000024103EMU01,ocm3490879,Bound Issue
990000241040302486,0564-2736,(Aleph)000024104EMU01,ocm2254053,Bound Issue
990000241060302486,0041-1930,(Aleph)000024106EMU01,(OCoLC)2096400,Bound Issue
990000241090302486,,(Aleph)000024109EMU01,(OCoLC)35177051,Bound Issue
990000241310302486,1532-0367,(Aleph)000024131EMU01,ocm41012811,Bound Issue
990000241510302486,,(Aleph)000024151EMU01,(OCoLC)1586198,Bound Issue
990000242010302486,,(Aleph)000024201EMU01,(OCoLC)46439691,Bound Issue
990000242020302486,,(Aleph)000024202EMU01,ocm46439845,Bound Issue
990000243320302486,1536-6936,(Aleph)000024332EMU01,(OCoLC)45366073,Bound Issue
990000243360302486,,(Aleph)000024336EMU01,ocm43906108,Bound Issue
990000245270302486,1532-2882,(Aleph)000024527EMU01,(OCoLC)45266164,Bound Issue
990000248420302486,1355-6509,(Aleph)000024842EMU01,(OCoLC)32781489,Bound Issue
990000251550302486,1521-5601,(Aleph)000025155EMU01,(OCoLC)37875850,Bound Issue
990000254930302486,,(Aleph)000025493EMU01,(OCoLC)26115312,Bound Issue
990000255110302486,2018-5618,(Aleph)000025511EMU01,(OCoLC)1481226,Bound Issue
990000256020302486,1528-5324,(Aleph)000025602EMU01,(OCoLC)43431271,Bound Issue
990000258060302486,1532-0634; 1532-0626,(Aleph)000025806EMU01,(OCoLC)45181798,Bound Issue
990000258760302486,1530-6984,(Aleph)000025876EMU01,(OCoLC)44446006,Bound Issue
990000260190302486,,(Aleph)000026019EMU01,(OCoLC)26570583,Bound Issue
